dist_o1,vel1,mu_l,action,shift_obstacle
98.56,28.58,0.63,1.0,0.1
97.14,28.27,0.63,1.0,0.2
95.74,27.96,0.63,1.0,0.3
94.35,27.65,0.63,1.0,0.4
92.97,27.35,0.63,1.0,0.5
91.61,27.04,0.63,1.0,0.6
90.27,26.73,0.63,1.0,0.7
88.94,26.42,0.63,1.0,0.8
87.63,26.11,0.63,1.0,0.9
86.33,25.8,0.63,1.0,1.0
85.04,25.49,0.63,1.0,1.1
83.78,25.18,0.63,1.0,1.2
82.53,24.88,0.63,1.0,1.3
81.29,24.57,0.63,1.0,1.4
80.07,24.26,0.63,1.0,1.5
78.86,23.95,0.63,1.0,1.6
77.67,23.64,0.63,1.0,1.7
76.5,23.33,0.63,1.0,1.8
75.34,23.02,0.63,1.0,1.9
74.2,22.71,0.63,1.0,2.0
73.07,22.41,0.63,1.0,2.1
71.96,22.1,0.63,1.0,2.2
70.86,21.79,0.63,1.0,2.3
69.78,21.48,0.63,1.0,2.4
68.71,21.17,0.63,1.0,2.5
67.66,20.86,0.63,1.0,2.6
66.63,20.55,0.63,1.0,2.7
65.61,20.25,0.63,1.0,2.8
64.6,19.94,0.63,1.0,2.9
63.61,19.63,0.63,1.0,3.0
62.64,19.32,0.63,1.0,3.1
61.68,19.01,0.63,1.0,3.2
60.74,18.7,0.63,1.0,3.3
59.81,18.39,0.63,1.0,3.4
58.9,18.08,0.63,1.0,3.5
58.0,17.78,0.63,1.0,3.6
57.12,17.47,0.63,1.0,3.7
56.26,17.16,0.63,1.0,3.8
55.4,16.85,0.63,1.0,3.9
54.57,16.54,0.63,1.0,4.0
53.75,16.23,0.63,1.0,4.1
52.95,15.92,0.63,1.0,4.2
52.16,15.61,0.63,1.0,4.3
51.39,15.31,0.63,1.0,4.4
50.63,15.0,0.63,1.0,4.5
49.89,14.69,0.63,1.0,4.6
49.16,14.38,0.63,1.0,4.7
48.45,14.07,0.63,1.0,4.8
47.75,13.76,0.63,1.0,4.9
47.07,13.45,0.63,1.0,5.0
46.41,13.15,0.63,1.0,5.1
45.76,12.84,0.63,1.0,5.2
45.12,12.53,0.63,1.0,5.3
44.5,12.22,0.63,0.99,5.4
43.9,11.91,0.63,0.99,5.5
43.31,11.6,0.63,0.99,5.6
42.74,11.29,0.63,0.98,5.7
42.18,10.98,0.63,0.98,5.8
41.64,10.68,0.63,0.96,5.9
41.12,10.37,0.63,0.95,6.0
40.61,10.06,0.63,0.92,6.1
40.11,9.75,0.63,0.89,6.2
39.63,9.44,0.63,0.84,6.3
39.17,9.0,0.9,0.77,6.4
38.73,8.63,0.76,0.44,6.5
38.31,8.27,0.73,0.41,6.6
37.9,7.97,0.61,0.31,6.7
37.51,7.68,0.59,0.3,6.8
37.13,7.45,0.48,0.23,6.9
36.76,7.21,0.49,0.23,7.0
36.41,7.02,0.38,0.18,7.1
36.06,6.82,0.41,0.19,7.2
35.73,6.66,0.33,0.15,7.3
35.4,6.48,0.37,0.17,7.4
35.08,6.35,0.28,0.13,7.5
34.76,6.17,0.36,0.17,7.6
34.46,6.06,0.23,0.1,7.7
34.16,5.89,0.35,0.16,7.8
33.87,5.79,0.2,0.09,7.9
33.58,5.63,0.33,0.15,8.0
33.3,5.54,0.18,0.08,8.1
33.03,5.39,0.3,0.14,8.2
32.76,5.31,0.17,0.08,8.3
32.5,5.18,0.27,0.12,8.4
32.24,5.09,0.17,0.07,8.5
31.99,4.98,0.24,0.11,8.6
31.74,4.89,0.17,0.07,8.7
31.5,4.79,0.22,0.1,8.8
31.26,4.71,0.17,0.07,8.9
31.03,4.61,0.2,0.09,9.0
30.8,4.53,0.16,0.07,9.1
30.58,4.44,0.18,0.08,9.2
30.36,4.36,0.16,0.07,9.3
30.14,4.28,0.17,0.07,9.4
29.93,4.2,0.16,0.07,9.5
29.72,4.13,0.16,0.07,9.6
29.52,4.05,0.15,0.07,9.7
29.32,3.98,0.15,0.07,9.8
29.12,3.91,0.15,0.07,9.9
28.93,3.84,0.14,0.06,10.0
28.74,3.77,0.14,0.06,10.1
28.55,3.7,0.14,0.06,10.2
28.37,3.64,0.14,0.06,10.3
28.19,3.57,0.13,0.06,10.4
28.01,3.51,0.13,0.06,10.5
27.83,3.44,0.13,0.06,10.6
27.66,3.38,0.13,0.06,10.7
27.5,3.32,0.12,0.06,10.8
27.33,3.26,0.12,0.05,10.9
27.17,3.2,0.12,0.05,11.0
27.01,3.14,0.12,0.05,11.1
26.86,3.09,0.12,0.05,11.2
26.7,3.03,0.12,0.05,11.3
26.55,2.97,0.11,0.05,11.4
26.41,2.92,0.11,0.05,11.5
26.26,2.86,0.11,0.05,11.6
26.12,2.81,0.11,0.05,11.7
25.98,2.76,0.11,0.05,11.8
25.84,2.71,0.11,0.05,11.9
25.71,2.65,0.11,0.05,12.0
25.58,2.6,0.1,0.05,12.1
25.45,2.55,0.1,0.05,12.2
25.32,2.5,0.1,0.05,12.3
25.2,2.45,0.1,0.04,12.4
25.08,2.41,0.1,0.04,12.5
24.96,2.36,0.1,0.04,12.6
24.84,2.31,0.1,0.04,12.7
24.73,2.26,0.1,0.04,12.8
24.62,2.22,0.09,0.04,12.9
24.51,2.17,0.09,0.04,13.0
24.4,2.13,0.09,0.04,13.1
24.29,2.08,0.09,0.04,13.2
24.19,2.04,0.09,0.04,13.3
24.09,2.0,0.09,0.04,13.4
23.99,1.95,0.09,0.04,13.5
23.89,1.91,0.09,0.04,13.6
23.8,1.87,0.09,0.04,13.7
23.71,1.83,0.09,0.04,13.8
23.62,1.78,0.08,0.04,13.9
23.53,1.74,0.08,0.04,14.0
23.44,1.7,0.08,0.04,14.1
23.36,1.66,0.08,0.04,14.2
23.28,1.62,0.08,0.04,14.3
23.2,1.58,0.08,0.04,14.4
23.12,1.55,0.08,0.04,14.5
23.04,1.51,0.08,0.03,14.6
22.97,1.47,0.08,0.03,14.7
22.9,1.43,0.08,0.03,14.8
22.82,1.39,0.08,0.03,14.9
22.76,1.36,0.08,0.03,15.0
22.69,1.32,0.07,0.03,15.1
22.62,1.28,0.07,0.03,15.2
22.56,1.25,0.07,0.03,15.3
22.5,1.21,0.07,0.03,15.4
22.44,1.18,0.07,0.03,15.5
22.38,1.14,0.07,0.03,15.6
22.32,1.11,0.07,0.03,15.7
22.27,1.07,0.07,0.03,15.8
22.22,1.04,0.07,0.03,15.9
22.17,1.01,0.07,0.03,16.0
22.12,0.97,0.07,0.03,16.1
22.07,0.94,0.07,0.03,16.2
22.02,0.91,0.07,0.03,16.3
21.98,0.88,0.07,0.03,16.4
21.93,0.84,0.07,0.03,16.5
21.89,0.81,0.06,0.03,16.6
21.85,0.78,0.06,0.03,16.7
21.82,0.75,0.06,0.03,16.8
21.78,0.72,0.06,0.03,16.9
21.74,0.69,0.06,0.03,17.0
21.71,0.66,0.06,0.03,17.1
21.68,0.63,0.06,0.03,17.2
21.65,0.6,0.06,0.03,17.3
21.62,0.57,0.06,0.03,17.4
21.59,0.54,0.06,0.03,17.5
21.56,0.51,0.06,0.03,17.6
21.54,0.48,0.06,0.03,17.7
21.51,0.46,0.06,0.03,17.8
21.49,0.43,0.06,0.03,17.9
21.47,0.4,0.06,0.03,18.0
21.45,0.37,0.06,0.02,18.1
21.43,0.35,0.06,0.02,18.2
21.42,0.32,0.05,0.02,18.3
21.4,0.29,0.05,0.02,18.4
21.39,0.27,0.05,0.02,18.5
21.38,0.24,0.05,0.02,18.6
21.36,0.21,0.05,0.02,18.7
21.35,0.19,0.05,0.02,18.8
21.35,0.16,0.05,0.02,18.9
21.34,0.14,0.05,0.02,19.0
21.33,0.11,0.05,0.02,19.1
21.33,0.09,0.05,0.02,19.2
21.32,0.06,0.05,0.02,19.3
21.32,0.04,0.05,0.02,19.4
21.32,0.01,0.05,0.02,19.5
21.32,-0.01,0.05,0.02,19.6
