Episode,Kick_Speed,friction,Rewards,Stop_Distance
0,65.46,0.9,-1036.68,-6.15
80,62.58,0.9,-1024.86,-0.59
108,67.01,0.9,-1044.09,-8.27
233,65.81,0.9,-1040.93,-8.01
317,63.0,0.9,-1037.16,-5.1
377,69.69,0.9,-1063.73,-10.21
384,64.92,0.9,-1046.57,-10.23
399,66.05,0.9,-1048.19,-10.1
401,68.02,0.9,-1057.32,-10.27
462,65.1,0.9,-1048.51,-10.04
479,63.7,0.9,-1047.11,-10.05
526,65.88,0.9,-1042.85,-10.03
675,65.73,0.9,-1050.93,-10.12
757,60.65,0.9,-1038.7,-7.63
761,62.71,0.9,-1039.86,-8.58
804,62.07,0.9,-1026.53,-0.67
871,66.76,0.9,-1054.67,-10.07
901,62.45,0.9,-1042.08,-10.02
907,62.02,0.9,-1047.32,-10.33
923,63.4,0.9,-1057.32,-10.2
931,61.45,0.9,-1035.33,-5.49
975,65.64,0.9,-1058.03,-10.15
1016,56.56,0.9,-1024.95,-0.29
1024,59.2,0.9,-1039.03,-10.02
1060,73.25,0.9,-1083.57,-10.05
1068,64.0,0.9,-1059.99,-10.35
1120,62.71,0.9,-1046.62,-10.07
1131,55.0,0.9,-1026.69,-0.97
1152,57.58,0.9,-1041.68,-10.12
1173,62.94,0.9,-1057.7,-10.02
1176,63.08,0.9,-1053.45,-10.01
1213,64.54,0.9,-1062.59,-10.32
1306,58.33,0.9,-1032.79,-5.6
1312,55.35,0.9,-1036.24,-8.75
1360,55.57,0.9,-1031.43,-5.27
1383,56.68,0.9,-1027.83,-3.2
1387,65.34,0.9,-1064.08,-10.64
1392,60.03,0.9,-1042.63,-10.14
1397,58.29,0.9,-1036.36,-7.07
1403,59.64,0.9,-1035.72,-8.02
1404,57.4,0.9,-1030.93,-4.29
1433,57.09,0.9,-1033.94,-5.93
1441,59.05,0.9,-1046.09,-10.04
1450,55.96,0.9,-1036.25,-10.03
1483,53.99,0.9,-1026.11,-1.78
1484,57.75,0.9,-1044.27,-10.25
1491,57.62,0.9,-1040.68,-10.11
1506,56.21,0.9,-1029.8,-4.35
1514,58.54,0.9,-1041.38,-10.11
1518,54.85,0.9,-1022.81,-0.35
1551,56.95,0.9,-1040.69,-10.08
1553,59.19,0.9,-1042.43,-10.15
1566,66.24,0.9,-1071.68,-10.24
1588,66.63,0.9,-1074.39,-10.19
1607,56.21,0.9,-1027.62,-2.94
1611,61.21,0.9,-1052.3,-10.25
1626,52.12,0.9,-1026.66,-3.44
1640,62.37,0.9,-1069.38,-10.1
1648,55.77,0.9,-1036.21,-8.62
1649,59.17,0.9,-1046.06,-10.02
1658,58.14,0.9,-1047.73,-10.25
1674,61.19,0.9,-1063.21,-10.3
1677,56.02,0.9,-1030.99,-4.64
1683,55.22,0.9,-1026.85,-2.99
1705,55.35,0.9,-1040.44,-10.07
1707,62.13,0.9,-1059.57,-10.07
1708,64.16,0.9,-1067.11,-10.2
1715,56.96,0.9,-1044.25,-10.18
1729,60.39,0.9,-1059.9,-10.32
1738,71.06,0.9,-1086.62,-10.42
1740,62.5,0.9,-1067.22,-10.01
1743,56.16,0.9,-1044.18,-10.16
1755,62.81,0.9,-1063.03,-10.59
1770,68.1,0.9,-1080.4,-10.29
1818,50.74,0.9,-1022.87,-0.4
1826,59.22,0.9,-1045.78,-10.07
1829,59.07,0.9,-1047.14,-10.12
1834,63.35,0.9,-1069.12,-10.35
1839,56.17,0.9,-1042.02,-10.21
1859,66.05,0.9,-1075.66,-10.64
1863,53.28,0.9,-1023.82,-0.92
1864,58.05,0.9,-1046.98,-10.22
1868,51.6,0.9,-1019.01,-0.15
1882,65.51,0.9,-1076.98,-10.04
1884,54.48,0.9,-1045.2,-10.19
1891,55.27,0.9,-1041.74,-10.13
1904,53.71,0.9,-1034.93,-8.03
1907,54.48,0.9,-1043.23,-10.07
1925,61.92,0.9,-1062.62,-10.31
1943,56.6,0.9,-1046.93,-10.18
1946,53.06,0.9,-1038.36,-10.19
1956,57.16,0.9,-1051.03,-10.05
1958,53.32,0.9,-1035.02,-9.73
1959,52.74,0.9,-1030.87,-6.23
1961,55.4,0.9,-1042.5,-10.13
1971,62.04,0.9,-1065.4,-10.3
1999,53.55,0.9,-1030.2,-5.62
2011,58.47,0.9,-1054.74,-10.28
2015,56.54,0.9,-1037.96,-10.13
2025,55.5,0.9,-1040.49,-10.16
2034,55.05,0.9,-1050.17,-10.37
2037,69.29,0.9,-1082.33,-10.44
2062,57.57,0.9,-1050.04,-10.16
2067,56.53,0.9,-1052.07,-10.27
2071,58.85,0.9,-1056.69,-10.22
2088,51.42,0.9,-1030.73,-6.11
2095,61.52,0.9,-1069.55,-10.46
2096,53.95,0.9,-1035.92,-9.38
2098,63.97,0.9,-1072.75,-10.45
2113,57.28,0.9,-1053.1,-10.08
2139,54.46,0.9,-1045.41,-10.15
2140,51.8,0.9,-1035.57,-9.02
2143,59.77,0.9,-1065.36,-10.41
2149,49.19,0.9,-1020.69,-0.26
2163,49.66,0.9,-1028.99,-6.92
2164,49.56,0.9,-1025.74,-3.81
2169,52.98,0.9,-1037.16,-10.03
2172,53.53,0.9,-1038.8,-10.08
2175,51.19,0.9,-1033.99,-9.69
2194,53.64,0.9,-1051.33,-10.24
2195,49.34,0.9,-1033.85,-9.24
2197,49.51,0.9,-1029.11,-4.84
2211,55.71,0.9,-1046.84,-10.25
2216,52.03,0.9,-1034.67,-10.07
2220,51.05,0.9,-1036.62,-10.05
2222,51.63,0.9,-1040.09,-10.01
2231,52.29,0.9,-1032.84,-7.78
2236,59.23,0.9,-1060.58,-10.12
2250,50.14,0.9,-1033.17,-10.03
2265,55.85,0.9,-1050.25,-10.16
2272,50.6,0.9,-1035.67,-10.02
2273,61.28,0.9,-1068.92,-10.66
2278,51.46,0.9,-1034.35,-10.05
2280,55.62,0.9,-1046.39,-10.38
2284,54.92,0.9,-1045.78,-10.21
2285,55.14,0.9,-1051.1,-10.23
2286,54.55,0.9,-1048.47,-10.25
2294,63.56,0.9,-1077.39,-10.6
2297,49.5,0.9,-1034.39,-10.0
2299,56.89,0.9,-1055.33,-10.38
2306,50.47,0.9,-1029.86,-8.15
2312,58.13,0.9,-1062.62,-10.48
2320,53.75,0.9,-1051.38,-10.39
2323,62.27,0.9,-1069.01,-10.63
2327,50.71,0.9,-1034.19,-9.79
2337,50.32,0.9,-1034.4,-9.76
2339,53.67,0.9,-1051.39,-10.44
2340,52.57,0.9,-1044.56,-10.21
2350,49.55,0.9,-1033.39,-8.7
2351,50.74,0.9,-1037.14,-10.08
2355,58.31,0.9,-1059.34,-10.51
2359,57.58,0.9,-1056.57,-10.43
2363,50.52,0.9,-1037.97,-10.09
2364,53.66,0.9,-1048.7,-10.22
2373,51.18,0.9,-1044.38,-10.28
2377,58.23,0.9,-1065.45,-10.53
2380,53.31,0.9,-1051.28,-10.44
2384,55.87,0.9,-1052.77,-10.41
2391,46.85,0.9,-1033.01,-9.01
2392,52.76,0.9,-1047.74,-10.13
2402,57.39,0.9,-1060.65,-10.43
2407,61.3,0.9,-1069.17,-10.48
2411,52.55,0.9,-1044.98,-10.19
2412,56.88,0.9,-1061.44,-10.45
2418,47.48,0.9,-1021.38,-1.75
2422,57.09,0.9,-1057.08,-10.05
2427,48.26,0.9,-1024.79,-3.8
2430,60.33,0.9,-1069.28,-10.7
2446,46.91,0.9,-1025.8,-3.43
2450,55.0,0.9,-1052.42,-10.25
2458,50.67,0.9,-1037.98,-10.11
2463,47.55,0.9,-1021.86,-1.59
2470,47.97,0.9,-1030.69,-7.42
3509,43.63,0.9,-1014.67,-0.16
4050,38.46,0.9,-1012.52,-0.82
4051,44.21,0.9,-1013.92,-1.61
4054,41.11,0.9,-1012.67,-0.4
4055,39.9,0.9,-1012.4,-0.12
4056,34.14,0.9,-1013.78,-2.23
4057,34.5,0.9,-1013.54,-1.86
4058,38.27,0.9,-1013.43,-1.27
4059,36.02,0.9,-1015.11,-1.91
4061,38.57,0.9,-1018.05,-5.22
4062,32.17,0.9,-1017.55,-5.66
4064,34.54,0.9,-1017.11,-5.41
4065,47.66,0.9,-1018.59,-6.15
4066,50.64,0.9,-1018.07,-6.88
4067,36.09,0.9,-1018.79,-7.95
4068,42.06,0.9,-1022.41,-10.02
4069,38.49,0.9,-1021.76,-10.03
4070,43.07,0.9,-1023.52,-10.1
4072,40.71,0.9,-1025.18,-10.01
4073,33.08,0.9,-1023.22,-10.09
4075,31.9,0.9,-1024.77,-10.09
4076,43.1,0.9,-1024.41,-10.06
4079,48.32,0.9,-1024.8,-10.14
4080,42.29,0.9,-1025.88,-10.04
4082,42.8,0.9,-1027.24,-10.05
4083,42.21,0.9,-1027.72,-10.04
4084,45.92,0.9,-1028.85,-10.08
4085,54.03,0.9,-1027.62,-10.07
4086,47.4,0.9,-1027.25,-10.09
4087,38.52,0.9,-1027.44,-10.09
4089,37.08,0.9,-1028.78,-10.02
4090,49.7,0.9,-1027.94,-10.15
4091,37.36,0.9,-1029.69,-10.04
4093,29.22,0.9,-1016.35,-4.44
4094,63.87,0.9,-1030.45,-10.07
4095,32.73,0.9,-1030.29,-10.24
4096,34.91,0.9,-1031.1,-10.01
4097,43.7,0.9,-1032.85,-10.06
4098,52.47,0.9,-1031.62,-10.27
4099,47.92,0.9,-1030.75,-10.13
4100,34.86,0.9,-1031.46,-10.06
4103,39.72,0.9,-1032.72,-10.18
4104,40.49,0.9,-1032.28,-10.01
4105,46.19,0.9,-1032.42,-10.28
4106,38.86,0.9,-1033.89,-10.16
4107,32.07,0.9,-1026.39,-10.06
4108,35.38,0.9,-1032.96,-10.31
4109,42.16,0.9,-1034.18,-10.08
4110,35.73,0.9,-1032.48,-10.01
4111,31.61,0.9,-1026.17,-10.05
4112,62.08,0.9,-1032.93,-10.18
4113,39.14,0.9,-1033.9,-10.19
4114,42.73,0.9,-1033.65,-10.03
4115,39.26,0.9,-1034.5,-10.29
4116,42.39,0.9,-1034.66,-10.14
4117,60.44,0.9,-1034.88,-10.31
4118,31.17,0.9,-1027.44,-10.2
4119,40.84,0.9,-1033.07,-10.09
4120,49.36,0.9,-1034.41,-10.25
4121,40.61,0.9,-1033.47,-10.19
4122,59.24,0.9,-1032.7,-10.27
4123,40.03,0.9,-1035.03,-10.25
4124,48.79,0.9,-1034.82,-10.19
4125,38.1,0.9,-1034.01,-10.18
4126,28.98,0.9,-1016.59,-6.73
4128,28.83,0.9,-1015.62,-4.73
4129,28.03,0.9,-1014.9,-3.13
4130,50.84,0.9,-1034.02,-10.16
4131,39.02,0.9,-1033.5,-10.11
4132,43.1,0.9,-1031.25,-10.21
4134,34.29,0.9,-1031.83,-10.03
4135,51.78,0.9,-1033.06,-10.03
4137,35.28,0.9,-1029.64,-10.26
4138,45.13,0.9,-1030.06,-10.19
4139,29.65,0.9,-1023.66,-10.11
4140,54.03,0.9,-1030.56,-10.26
4141,46.67,0.9,-1029.97,-10.03
4142,35.81,0.9,-1032.02,-10.04
4143,47.32,0.9,-1030.82,-10.13
4144,27.8,0.9,-1013.78,-3.36
4145,41.67,0.9,-1030.0,-10.14
4146,46.47,0.9,-1029.31,-10.12
4147,50.33,0.9,-1029.19,-10.05
4148,47.88,0.9,-1030.18,-10.2
4149,41.42,0.9,-1030.37,-10.29
4151,30.92,0.9,-1027.26,-10.06
4152,47.12,0.9,-1029.3,-10.1
4153,40.66,0.9,-1028.65,-10.17
4154,30.24,0.9,-1022.76,-10.03
4155,33.95,0.9,-1028.65,-10.02
4156,46.52,0.9,-1028.59,-10.03
4159,28.66,0.9,-1018.28,-9.52
4160,34.33,0.9,-1026.88,-10.05
4161,43.24,0.9,-1026.21,-10.04
4163,31.34,0.9,-1026.8,-10.13
4164,51.44,0.9,-1028.67,-10.16
4165,50.4,0.9,-1026.91,-10.06
4166,46.32,0.9,-1027.39,-10.02
4167,35.08,0.9,-1027.97,-10.07
4168,30.21,0.9,-1022.09,-10.0
4169,28.87,0.9,-1020.42,-10.04
4170,48.18,0.9,-1027.6,-10.06
4171,41.53,0.9,-1025.75,-10.18
4172,41.48,0.9,-1025.02,-10.04
4173,31.48,0.9,-1025.27,-10.01
4174,39.64,0.9,-1026.8,-10.04
4175,38.61,0.9,-1024.6,-10.18
4176,27.84,0.9,-1017.2,-7.95
4178,38.52,0.9,-1024.19,-10.17
4179,36.91,0.9,-1025.84,-10.08
4180,53.05,0.9,-1025.67,-10.06
4181,55.48,0.9,-1025.22,-10.01
4182,48.06,0.9,-1025.17,-10.01
4183,50.1,0.9,-1024.67,-10.1
4184,34.98,0.9,-1022.04,-10.01
4185,32.32,0.9,-1024.84,-10.08
4186,50.7,0.9,-1023.16,-10.08
4188,45.26,0.9,-1023.89,-10.05
4189,38.97,0.9,-1024.97,-10.08
4190,35.7,0.9,-1022.62,-10.1
4191,31.74,0.9,-1025.33,-10.03
4192,29.49,0.9,-1020.08,-10.02
4193,40.84,0.9,-1025.14,-10.09
4194,37.04,0.9,-1022.22,-10.12
4195,35.66,0.9,-1023.64,-10.17
4196,46.26,0.9,-1024.01,-10.0
4197,63.37,0.9,-1025.14,-10.14
4198,30.65,0.9,-1022.96,-10.13
4199,47.96,0.9,-1024.88,-10.18
4200,51.15,0.9,-1024.06,-10.15
4201,37.4,0.9,-1024.82,-10.05
4202,30.28,0.9,-1021.17,-10.14
4203,67.05,0.9,-1025.0,-10.1
4205,47.7,0.9,-1023.99,-10.19
4206,40.26,0.9,-1023.0,-10.1
4207,40.64,0.9,-1023.99,-10.08
4208,53.22,0.9,-1023.09,-10.1
4209,35.19,0.9,-1023.02,-10.1
4210,34.15,0.9,-1019.18,-10.05
4211,43.8,0.9,-1021.46,-10.03
4212,45.45,0.9,-1020.99,-10.04
4215,30.27,0.9,-1020.17,-10.06
4216,44.94,0.9,-1018.58,-10.02
4218,36.44,0.9,-1018.54,-10.02
4219,38.85,0.9,-1013.08,-2.52
4220,55.47,0.9,-1017.25,-8.26
4221,29.62,0.9,-1015.41,-5.97
4222,33.91,0.9,-1012.21,-2.08
4256,58.19,0.9,-1042.26,-3.95
4261,56.62,0.9,-1041.28,-3.43
4269,56.91,0.9,-1059.39,-10.2
4273,50.67,0.9,-1045.23,-5.24
4280,48.1,0.9,-1036.39,-1.69
4281,55.4,0.9,-1056.27,-10.13
4285,49.19,0.9,-1038.98,-2.27
4299,59.42,0.9,-1064.47,-10.16
4321,57.56,0.9,-1042.41,-3.4
4324,57.07,0.9,-1036.91,-0.98
4328,60.27,0.9,-1042.09,-3.22
4346,64.5,0.9,-1042.08,-2.82
4535,36.61,0.9,-1019.09,-1.45
4536,41.02,0.9,-1015.07,-0.44
4542,65.26,0.9,-1015.08,-0.15
4556,46.15,0.9,-1020.79,-2.72
4559,31.6,0.9,-1015.84,-1.59
4560,37.01,0.9,-1019.39,-3.51
4568,40.46,0.9,-1021.34,-3.62
4570,27.53,0.9,-1015.6,-1.95
4571,40.25,0.9,-1018.28,-1.36
4572,37.12,0.9,-1017.43,-2.32
4573,27.99,0.9,-1020.12,-3.85
4574,24.45,0.9,-1016.64,-2.74
4575,34.7,0.9,-1018.23,-4.06
4576,43.8,0.9,-1016.54,-0.63
4577,34.3,0.9,-1022.44,-4.68
4578,48.37,0.9,-1020.32,-2.69
4579,30.92,0.9,-1021.63,-4.58
4580,52.92,0.9,-1021.84,-4.13
4581,32.02,0.9,-1021.91,-4.88
4582,43.85,0.9,-1019.6,-2.47
4583,33.45,0.9,-1024.34,-4.8
4586,42.31,0.9,-1021.61,-2.8
4587,49.45,0.9,-1016.75,-0.55
4590,33.72,0.9,-1018.78,-2.28
4591,37.72,0.9,-1020.15,-1.3
4592,25.12,0.9,-1012.7,-0.17
4593,51.2,0.9,-1018.61,-3.49
4594,39.39,0.9,-1017.77,-1.78
4595,31.63,0.9,-1019.31,-3.13
4596,43.28,0.9,-1019.34,-1.85
4598,41.77,0.9,-1015.32,-1.47
4599,32.13,0.9,-1015.66,-1.51
4600,39.85,0.9,-1021.06,-6.85
4602,40.33,0.9,-1010.45,-0.25
4605,46.33,0.9,-1014.15,-0.73
4606,43.9,0.9,-1012.03,-0.13
4610,27.73,0.9,-1014.47,-4.0
4618,60.23,0.9,-1022.81,-1.81
4944,56.79,0.9,-1053.57,-10.31
4948,63.86,0.9,-1072.91,-10.01
4951,50.77,0.9,-1035.64,-10.04
4955,70.01,0.9,-1080.69,-10.45
4956,45.81,0.9,-1003.65,-1.68
4958,50.78,0.9,-1013.97,-10.1
4960,49.54,0.9,-1009.5,-10.03
4964,48.23,0.9,-1011.73,-10.05
4980,55.48,0.9,-1059.7,-10.04
4982,52.69,0.9,-1051.88,-10.0
4989,56.91,0.9,-1062.11,-10.45
5000,47.95,0.9,-1034.48,-10.06
